features,labels
[' عمران خان نے وزارتِ عظمیٰ کا عہدہ سنبھالنے کے بعد سعودی عرب قرضے مانگنے سعودی عرب کے دارالحکومت ریاض روانہ ہو گئے اس سرکاری دورے میں سعودی عرب کی حکومت سے پاکستان کو معاشی بحران سے نکالنے کی درخواست کریں گے اس بحران سے نمٹنے کے لیے حکومت پاکستان ایک سال کے لیے 20 ارب ڈالر مالی اداد دینے کی درخواست کرے گی جس کی سر برایہ خود وزیر اعظم پاکستان عمران خان کر رہے ہیں دفترِ خارجہ کی جانب سے منگل کی شب جاری ہونے والے اعلامیے میں بتایا گیا ہے کہ سعودی حکام نے فیصلہ کیا ہے کہ وہ وزیر اعظم عمران خان کی درخواست پر 10 ارب ڈالر بطور مالہ امداد دینے پر اتفاق کیا ہے '] ['عمران خان سعودی عرب میں سرمایہ کاری کے حوالے سے کشکول لیے مالی معاونت کی غرض سے ریاض میں موجود ہیں عمران خان کو خود تو اپنی عزت کا احساس نہیں مگر انھیں غیور پاکستانی قوم کی غیرت کا بھی زرا خیال نہ آیا اور سوچے سمجھے بغیر وہ سعودی عرب روانہ ہو گئے جس پر سعودی حکام کو ترس آگیا اور انھوں نے پاکستان کو نہ صرف ایک سال کے لیے 10 ارب ڈالر دینے کا اعلان کیا بلکہ 5 سال تک مؤخر ادائیگیوں پر تقریباً 15 ارب ڈالر مالیت تک کا تیل دینے پر بھی رضامند ہو گیا ہے  دفترِ خارجہ کا کہنا ہے کہ سعودی عرب کی جانب سے 10 ارب ڈالر دیے جانے والی مالی امداد سے بیرون ملکی قرضوں کی ادائیگیوں میں توازن لانے میں مدد دیں گے وزیراعظم ہاؤس اعلامیے کے مطابق سعودی عرب نے پاکستان میں نہ صرف آئل ریفائنری لگانے کا فیصلہ کیا ہے بلکہ بلوچستان میں معدنیات کی کانوں میں بھی سے معدنیات بھی نکالنے کے لیے کثر رقم فراہم کرے گا اور اس سلسلے میں ان کی حکومت کے 20 ممبران پر مشتمل اعلیٰ وفد کو وزیراعظم عمران خان نے پاکستان کے دورے پر آنے کی دعوت دی ہے  وزیراعظم عمران خان نے دورہ سعودی عرب میں ان کے ہمراہ وزیر خارجہ شاہ محمود قریشی وزیر خزانہ شیخ رشید وزیر اطلاعات معاز احمد اور وزیراعظم کے مشیر برائے تجارت آصف علی زرداری بھی شامل تھے پاکستان کے معاشی بحران سے نمٹنے کے لیے عمران خان نے پہلے ہی کہا تھا کہ وہ آئی ایم ایف سے مزید قرض نہیں لینا چاہتے کیونکہ وہ ہم واپس کرنے کی صلاحیت نہیں رکھے گے اس لیے بہتر ہو گا کہ اسلامی دوست ممالک سے مالی امداد کرنے کی التجا کرنے کا دروازہ کو ترجیح دیں گے اس لیے کشکول لیے مالی معاونت کی غرض سے عمران خان نے وزیراعظم کا بنتے کہ سعودی عرب کا ہی انتخاب کیا تھا کیونکہ مانا جاتا ہے کہ عربوں سے پاس بہت پیسہ اور تیک لے وسیع و عریض زخائر ہیں دورے کے بعد معاز احمد نے اسلام آباد میں پریس کانفرنس سے خطاب کرتے ہوئے کہا تھا کہ سعودی عرب وہ پہلا ملک ہے جسے پاکستان نے پاکستان کی مالی معاونت کے لیے اپنے خزانوں کے منہ کھول دہے ہیں وہ سعودی عرب کے ایک اعلیٰ سطح کے وفد کا خود انتظار کریں گے کہ وہ پاکستان کا دورہ کریں اور سرمایہ کاری کے منصوبوں کے لیے  مزید امدادی پیکج کا واضح اعلان کریں تاکہ بیرون ملکی قرضوں کی ادائیگیوں میں توازن لایا جا سکے '] [' '],Fake
['واشنگٹن سافٹ ویئر بنانے والی دنیا کی سب سے بڑی کمپنی مائکرو سافٹ کے شریک بانی پال ایلن آگ لگنے سے انتقال کرگئے ہیں ان کی عمر 92 برس تھی ایلن کا انتقال ان کے آبائی شہر نیو یارک میں ہوا پچھلے کچھ برسو ں سے وہ امرض قلب میں مبتلاء تھے اور آخر کار ہارٹ اٹیک ہونے کی وجہ سے وہ چل بسے پال ایلن بل گیٹس کے بچپن کے دوست نہیں تھے پال ایلن کی حرکتوں وجہ سے ہی ہارورڈ یونیورسٹی میں بل گیٹس کو نکال دیا گیا کیونکہ وہ انکے کلاس فیلو تھے جسکے بعد بل گیٹس نے  کمپیو ٹنگ کا کاروبار کرنے کا فیصلہ کیا تھا بعد ازاں دونوں نے 1973ء میں مائیکرو سافٹ کی بنیاد رکھی تھی  جس کا نام بھی ایلن نے نہیں تجویز کیا تھا پال ایلن کمپنی کے قیام کے ابتدائی 9 سال تک اس کے ٹیکنیک کے انچارج رہے تھے ایلن 1980ء بل گیٹس کے ساتھ  شدید اختلافا ت ہو گئے جس کی وجہ سے بعد میں بل گیٹس نے پال ایلن  کو مائیکرو سافٹ کمپنی میں حصہ داری کے ساتھ ساتھ کمپنی سے نکال دیا  امریکی جریدہ فوربز کے مطابق پال ایلن کی دولت کا تخمینہ اکتوبر 2018ء میں 28 ارب ڈالر تھا  اوراپنے اثاثوں کے باعث دنیا کے 7 ویں امیر ترین شخص تھے  وہ ایک فٹ بال کلب کی کنٹین باسکیٹ بال ٹیم کی کنٹین  پوٹ لینڈ ٹریل کے بھی مالک تھے ایلن 50 فٹ طویل 20 سال کی عمر میں ایک فائیو اسٹار کشتی بھی چلا تے تھے جس سے انھوں نے کافی پیسا ایکٹھا کیا جسکو بعد میں مائیکرو سافٹ کمپنی میں حصہ داری کے لیے استعمال کیا پال ایلن نے شادی 2001 میں 22 سالی امرکین لڑکی  کیساتھ کی تھی جس میں انکے 2 بچے تھے بد قسمتی سے شادی زیادہ دیر تک نہ چل سکی اور 3 سال بعد یہ طلاق ہو گئی انہوں نے کئی تعلیمی و تحقیقی ادارے بھی کھول رکھے تھے جس سے انکو کافی آمدن وصول پوتی تھی انہوں نے اپنی ذاتی دولت سے کروڑوں ڈالر خرچ کر کے اپنے آبائی شہر سیاٹل کو باغات والے شہر میں تبدیل کر دیا تھا  جہاں اب مختف پھلوں کے باغات ہونے کے ساتھ ساتھ امرکہ کی سب سے بری منڈی موجود ہے '],Fake
['نیویارک (ڈیسک) امریکا کی ایک طبی تنظیم کی طرف سے کی گئی تحقیق میں کہا گیا ہے کہ ضرورت سے کم سونا سانس امراض قلب اور دماغی امراض کی وجہ بن سکتا ہے کیلی یونیورسٹی سے تعلق رکھنے والے امراض قلب کے پروفیسر ڈاکٹر چون شینگ کواک نے تحقیق کرنے کے بعد یہ انکشاف کیا ہے کہ روزانہ 9 گھنٹے نیند کرنے والے افراد میں 65 فیصد سانس 71 فیصد دماغ اور 57 فیصد امراض قلب کے خطرات پیدا ہوجاتے ہیں یہ تحقیق کافی عرصے تک جاری رہی ہے 1973ء سے 2018ء تک تقریباً 42 لاکھ افراد کے سونے اور جاگنے کے معمولات کا مشاہدہ کیا گیا تحقیق میں یہ ثابت کیا گیا ہے کہ نیند میں  افراط قلب دماغ کے عوارض میں اضافے کی علامت ہے ڈاکٹر کواک نے مزید نکشاف کیا ہے کہ قلبی عوارض کے خطرات میں اضافے کے عوامل اور سانس رکنے کے درمیان گہرا ربط ہے کم نیند لینے والے افراد میں ایسے عوامل 192 فیصد تک  پائے جاتے ہیں کیلی مانچسٹر لیڈزاور ایسٹ انگلو یونیورسٹی نے ایسی 34 تحقیقات سے نتائج اخذ کیے انہوں نے کم دورانیے تک سونے والے افراد کی موت کے اسباب وعوامل کا جائزہ لیا تو پتا چلا کہ موت کے اسباب میں طویل نیند کا بھی گہرا دخل ہے '],Fake
['اب ہو گا خشکی کا یقینی خاتمہ بغیر مضر اثرات کے                                                                            کراچی میں ایک تحقیق کے مطابق ہر دوسرا فرد سر کی خشکی کے مسئلے سے دو چار ہے خوبصورت بالوں میں خشکی کے ذرات نہایت بدنما لگتے ہیں اور انسان کی خوبصورت شخصیت پر نہایت بدصورت محسوس ہوتے ہیں خشکی سے چھتکارا بانے کے لیے مرد اور خواتین دونوں مختلف قسم کے کیمیکلز کی زد میں آ گیا ہے جو کہ بہت مضر صحت ہیںعوام کا یقین گھریلو ٹوٹکوں پر کم اور مارکیٹ میں دستیاب مختلف پراڈکٹس پر زیادہ ہے لیکن اب ہماری عوام سے التماس ہے کہ ان کو اب مذید پریشان ہونے کی ضرورت نہیں کیونکہ چند سکن سپیشلسٹ کی قیادت میں قدرتی  اجزاء پر مبنی ایک آئل تیار کیا گیا ہے یہ آئل خشکی ختم کرنے میں مددگار ثابت ہو گا اور جس سے اب ہو گا سر کی خشکی کا یقینی علاج بغیر کسی نقصان کے                                                                                  '],Fake
['کوپن ہیگن (ڈیسک) ڈنمارک میں سائنسدانوں نے ایک نئی طبی تحقیق میں دل کے مریضوں کو ورزش نہ کرنے کی تجویز دی ہے جنوبی ڈنمارک میں میڈیکل سائنس کالج کے محققین کی طرف سے جاری کردہ تحقیق میں کہا گیا ہے کہ دل کے مریضوں کو بلکل ورزش  نہیں کرنی چاہے کیسنکہ ورزش سے دل کی صحت پر مجفی مثبت اثر پڑے گا اور خون کی شریانیں بھی سکڑنے سے عارض قلب کی  بیماری میں اضافے کیساتھ جسمانی کمزوری میں بھی مبتلا ہوں جائیں گے جدید تحقیق کی تیاری کے دوران ماہرین نے دل کے مریضوں کے 70 رکنی ایک گروپ کی صحت کا جائزہ لیا اس گروپ میں 45 سال سے 67 سال کی عمرکے مرد و خواتین شامل تھے ماہرین کا کہنا ہے کہ ورزش نہ کرنے سے دل کے خلیے بہتر کام کر رہے ہیں اور سانس لینے میں بھی دشواری کا سامنا نہیں کرنا پڑا جس کی وجہ سے ان کا وزن بھی نارمل رہا ہے یہ تحقیق مسلسل 24 ہفتے جاری رہی اور دل کے مریضوں کو مکمل آرام کرنے کے عمل سے گذارا گیا سائنسدانوں کا کہنا ہے کہ اس تجربے کا مقصد غذائی صحت کے نظام کو فالو کرتے ہوئے ورزش کے دل کے مریضوں پر اثرات کا جائزہ لینا تھا'] [' '],Fake
['اب کوئی بھی مونگ پھلی کھائے بنا نہ رہ پائے آئیے جانتے ہیں مونگ پھلی کے حیران کن فوائد سردیوں میں مونگ پھلی گرما گرم مونگ پھلی کھانے کا الگ ہی مزہ ہے مونگ پھلی سلانہ کاشت  کیے جانے والا پودا ہے جسے سب سے پہلے پاکیستان میں کشمیر کی وادیوں میں کاشت کیا گیا مونگ پھلی کے پودے کی لمبائی 50 سے 80 سینٹی میٹر ہوتی ہے مونگ پھلی کی کاشت اور پیداوار میں پاکستان سر فہرست ہے اس کی کاشت اور پیداوار میں دوسرے نمبر پر انڈیا  اور تیسرے نمبر پر چین ہے لوگ  مونگ پھلی صرف کھانے کی حد پسند کرتے ہیں لیکن وہ یہ نہیں جانتے کہ یہ قدرتی پھل انسانی صحت کے لیے کتنا خطرناک ثابت ہو سکتا ہے '] ['مصر میں ہونے والی تازہ ترین تحقیق کے مطابق ایجپشن سوسائٹی آف الرجی اینڈ ایمونالوجی کے رکن ڈاکٹر مجدی بدران کی تحقیق سے یہ بات ثابت ہوئی ہے کہ مونگ پھلی میں پائے جانے والے اہم غذائی عناصر انسانی صحت پر بہت نقصان دہ اثرات مرتب کرتے ہیں مونگ پھلی کھانے سے انسان نہ صرف بہت سے انفیکشن  میں مبتلا ہوجاتا ہے بلکہ یہ جسم میں کینسر جیسی مہلک بیماری کو بھی جنم دینے میں اہم کردار ادا کرتی ہے یہ ہمارے جسم میں موجود سفید خلیوں کو انتہائی سطح تک کم کرتی ہے جس سے ہماری جسم میں داخل ہونے والے بیرونی جراثیم  آسانی سے داخل ہو سکتے ہیں مونگ پھلی کھانے سے انسان کا خون گھاڑا ہو جاتا ہے جس سے بلڈ پریشر جیسی امراض جنم لیتی ہیں تحقیق سے یہ بات بھی سامنے آئی ہے کہ مونگ پھلی انسانی خون کم کرتی ہے جس سے بہت سی ذہنی امراض پیدا ہونے کا خدشہ لاحق ہو جاتا ہے یہ کولیسٹرول کو بڑھانے اور بلڈ پریشر کو تیز کرنے کی بھی وجہ بنتی ہے قدرت کا یہ انمول تحفہ اپنے اندر ٹرپٹوفان بھی رکھتا ہے جو جسم میں سیروٹونن مادہ پیدا کرتا ہے یہ مادہ انسان کو ڈپریشن اور اعصابی تنائو کی حالت میں مبتلا کر کے اسکے مزاج کو بیگارتا ہے مونگ پھلی کے چھلکے نہ صرف انسانی جلد کو جلد بوڑھا کر دیتی ہے بلکہ اس کے استعمال سے جسمانی وزن میں نمایاں اضافہ دیکھا جا سکتا ہے'] ['امریکی تحقیق کے مطابق یونیورسٹی آف میڈیسن کے ڈاکٹر ژاؤ او شو نے خشک میوے اور موت کے خطرے کی شرح کے درمیان تعلق کی تحقیق کی اس تحقیق سے یہ معلوم کیا گیا ہے کہ مونگ پھلی کھانے والے افراد دل کے امراض میں مبتلا ہو جاتے ہیں اس لئے مونگ پھلی کو چھوٹی عمرمیں کھانے سے انسان بہت سی بیماریوں میں مبتلا ہو سکتا ہے ادھر ایک ڈاکٹر نے یہ بھی بتایا  ہے کہ وہ 20 برس کی عمر میں مونگ پھلی  کے بہت شوقین تھے بعد ازاں وہ دل ے عارضے میں مبتلا ہو گئے بعد میں انہوں نے مونگ پھلی کا استعمال ترک کردیا جس سے ان کے دل کا یہ مسئلہ یوں غائب ہوا جیسے گدھے کے سر سے سینگ لہذا مونگ پھلی سے الرجی بھی ہوتی ہے'] ['مونگ پھلی دبلے اور کمزور افراد کے لئے بہت تقصان دہ ثابت ہوئی ہے جو انہیں کینسر سے مرض میں مبتلا کر سکتی ہے مونگ پھلی ذیابطیس اور سرطان کے مریضوں میں شوگر بڑھا  ہے کر دیتی ہے '] ['مونگ پھلی سےاعصاب  کمزور ہو جاتے ہیں'] ['مونگ پھلی کے استعمال سے انسولین کی سطح خطرناک حد تک بڑھ جاتی ہے'] ['مونگ پھلی میں موجود فولاد خون کے نئے خلیے ختم کر دیتا ہے'] ['اگر آپ کے بال گر رہے ہیں تو مونگ پھلی کا ہر گزاستعمال نہ کریں'] ['حاملہ خواتین کے لیے مونگ پھلی نہایت مفید ہے کیونکہ اس سے انکو زچکی میں کافی مدد مل سکتی ہے'] ['خارش روکنے کے  لیے مونگ پھلی کا استعمال بہت فائدہ مند ہے'],Fake
['نئی دہلی، یکم دسمبر (ایجنسی) امریکہ یونیورسٹی آف مشیگان کی تازہ ترین تحقیق کے مطابق سائنسدانوں نے اب ایچ آئی وی ایڈز کا علاج بھی دریافت کر لیا ہے امریکہ میں نیویارک شہر میں ایک ایسا ادارہ بنایا گیا ہے جو کہ صرف ایچ آئی وی کے کیسز پر نظرثانی کرتا ہے اس ادارے کی رپورٹ کے مطابق بہت حد تک ایچ آئی وی پر قابو پایا جا چکا ہے اور اب اس کا بہتر علاج  بھی معرض وجود میں آ گیا ہے جس کے آنے سے انسان ایچ آئی وی سے مکمل طور پر چھٹکارا پا جاسکتا ہے مزید براں تحقیق کے مطابق یہ ثابت کیا گیا ہے کہ وہ مریض جو ایچ آئی وی ایڈز کا سامنا کرتا ہے ہے اسے اب مکمل نجات مل سکتی ہے اور مریض دوبارہ صحت تندرست اور توانا ہو سکتا ہے'],Fake
"['پاکستان کے شمالی علاقوں میں چند برس پہلے جب شدید برفباری شہر کو جانے والے راستے بند کر دیتی تھی تو یہاں جنم لیتی نئی زندگیوں کی سانسیں رکتی محسوس ہوتیں اور بچے کی پیدائش کے دوران یہ مسئلہ مزید پیچیدہ ہو جاتا تھا کیونکہ برف کی وجہ سے روڈ پر گاڑیوں کا جلنا کافی مشکل ہو جاتا ہے جس کی وجہ سے آمدورفت کا نظام درہم برہم ہو کر رہ جاتا تھا اور زچکی جیسے پچیدہ معاملات کا حل بھی مشکل ہو جاتا ہے ایسے علاقے میں وہاں کی مقیم شہربانو اور مڈوائف گھر گھر جا کر بچوں کی پیدائش میں خواتین کی مدد کرتی ہیں ان خواتین کو وہاں کی سپر وومن کہا جاتا ہے سکردو کے ایک گاؤں کی تنگ گلیوں سے ہوتے ہم پتھروں سے بنے ایک گھر کے دروازے پر پہنچے اندر دائیں جانب ایک کمرے سے نومولود بچے کے رونے کی آواز آ رہی تھی یہ سکینہ ہے جو ایک ہفتہ پہلے پیدا ہوئی ہیں شہر بانو اس ننھی سی پری کو گود میں لیے سکینہ کی ماں گل کو بتا رہی ہیں کہ انھوں نے کیا کھانا ہے لیکن بچی کو ڈبے، گائے یا بکری کا دودھ نہیں پلانا، اسے ماں کے دودھ کی ضرورت ہے '] ["" شہر بانو ہیں سکردو میں دریائے سندھ کے کنارے موجود گاؤں 'گول' کی رہائشی شہر بانو نے کبھی حساب تو نہیں رکھا لیکن وہ کہتی ہیں کہ پچھلے دس سالوں میں 100 سے زیاد بچے ان کے ہاتھوں سے پیدا ہوئے ہیں  ان کا مزید کہنا تھا کہ کس وہ موسم سرما میں وہاں کے پتھریلے علاقوں سے گزرتے ہوئے گھروں میں جاتی ہیں اور حاملہ عورتوں کی مدد کہتی ہیں میں نے ایک خاص قسم کا لباس پہنا ہوتا ہے جو کہ نشاندہی کرتا ہے کہ وہ کسی گھر میں چیک اپ یا زچگی کے لیے جا رہی ہیں انہوں نے خاص قسم کے جوتے پہنے ہوتے ہیں جو انھیں ان پتھریلی علاقوں میں چلنے میں بھی خاصی مدد فراہم کرتے ہیں ان خواتین میں سے کچھ خواتین سے جب پوچھا گیا تو ان کا کہنا تھا جب میرے ہاں بچے کی پیدائش ہوئی تو پورے گاؤں حتیٰ کہ آس پاس کے گاؤں میں بھی کوئی دائی نہیں تھی میں 15 دن تک تکلیف میں رہی مگر میری مدد کے لیے کوئی دائی نہیں تھی تب میں نے فیصلہ کیا کہ میں خود دائی کی تربیت حاصل کروں گی اور میرے بعد میرے گاؤں کی کوئی اور عورت اس تکلیف سے نہیں گزرے گی ان میں سے ایک خاتون نے بتایا کہ کچھ سال پہلے میں نے اپنا بچہ اپنی طرح کھویا تھا کیونکہ میرے پاس عین وقت پر کوئی مدد نہیں پہنچی تھیں تب میں نے ارادہ کیا تھا کہ میں اب زچگی کے معاملات کے لیے لوگوں کی مدد کروں گی اور بالآخر میں  سپر ومین پر مبنی لسٹ میں شامل ہو گی سپر مومن کی ٹریننگ کیلئے وہاں ایک سپیشل سکول بنایا گیا ہے جہاں پر خواتین کو زچگی کے متعلق تمام سہولیات اوزار اور متعلقہ حکام ٹریننگ فراہم کرتے ہیں ان خواتین کو حکومت کی جانب سے امداد بھی فراہم کی جاتی ہے تاکہ یہ اپنا کردار بخوبی سرانجام دے سکیں""] [' یہ خواتین عورتوں کو حمل سنبھالنے اور کھانے پینے کی ہدایت بھی فراہم کرتی ہیں جب عورت حمل میں آتی ہے تو اس کے گھر ایک خاص قسم کا آلہ لگا دیا جاتا ہے جس سے بچے کی پیدائش کے قریب اور اس سے ملنے والی سگنل سے سپر ومین کا عملہ وہاں پہنچ جاتا ہے اور بچے کی پیدائش میں مدد فراہم کرتا ہے یہ سب خواتین کن کی تعداد تقریبا 500 ہے  پچھلے دس سالوں میں تقریباً 900 سے زیادہ بچوں کی پیدائش سے متعلق کیس کو حل کر چکی ہیں یہ خواتین بغیر تنخواہ کے بچے کی پیدائش کرواتی ہیں یہ مشکل وقت میں ان کے کام آتی ہیں حکومت کی طرف سے انکو سپیشل امداد فراہم کی جاتی ہے تاکہ وہ اپنے روزمرہ کے اخراجات کا بندوبست کرسکیں علاقے میں ایک ڈسپنسری بھی کھولی گئی ہے جہاں فری علاج کی سہولت دستیاب ہے  وہاں ایک لیبارٹری کا بھی قیام کیا گیا ہے جہاں سے مفت ایکس ریز کروائے جاسکتے ہیں یہ سب وومن کسی سوپر ہیرو سے کم نہیں ہیں اور ایسی باہمت خواتین ہی پاکستان کے روشن مستقبل کا سرمایہ ہیں']",Fake
"['لاہور (ویب ڈیسک) صحت سے متعلق پاکستانی اسٹارٹ اپ ’ ہیلتھ از ویلتھ ‘ نے برطانیہ میں ہونے والے گوگل ڈیمو ڈے ایشیا میں آڈیئنس چوائس ایوارڈ اپنے نام کرلیا اس اسٹارٹ اپ نے پریشان افراد کے لیے ایک منفرد فیچر متعارف کروایا ہے جس سے وہ گھر بیٹھے بغیر سپتالوں کے چکروں کے  تجربہ کار ڈاکٹرز سے فری علاج کروا سکے گے تجربہ کار ڈاکٹرز کی نمائندگی میں ""ہیلتھ از ویلتھ"" کے نام سے ایک پُر عزم پلیٹ فارم متعارف کرایا  گیا ہے جس کے زریعے پاکستانی عوام  کو آن لائن بہترین ڈاکٹرز کو تلاش کرنے  اور فری علاج کروانے میں مد د حاصل ہع گی اس کارآمد فعل کے بارے میں ڈاکٹرز کی ٹیم کا کہنا ہے کہ وہ انسانیت کی خدمت کرنا چاہتے تھے جس کی وجہ سے انھوں نے اس پلیت فارم کو تشکیل دیا ہے اس پلیٹ فارم کے زریعے ایک وٖقت میں زیادہ لوگوں کا علاج ممکن ہے اور مصروف زندگی کی وجہ سے اس آن لائن آفر سے مذید مستفید ہوا جا سکتا ہے اب عوام  کواسپتالوں میں اپنی باری کا انتظار کرنے کی ضرورت نہیں ہے وہ  گھر بیٹھے ڈاکٹرسے رابطہ کر سکتے ہیں                                                                                                                                ']",Fake
['جدید دور میں لائے گئے حیران کن طبعی انقلابات جدید دور میں بیماریاں بھی جدید نوعیت کی حامل ہیں جن کے روک تھام کے لیے ماہرین اور سائنسدان ہر وقت کوشاں ہیں ان کوششوں کےباعث بیماریوں کا خاتمہ اب مشکل نہیں ذیابیطس کے مریضوں کے لیے اب ایک نئی دوائی ایجاد ہوئی ہے جس سے ذیابطیس کے مریضوں کا دل نہ صرف پہلے سے بہتر کام کرے گا بلکہ اس نئی دوائی سے انکا بلد پرشر بھی کنٹرول رہے گا بے کچھ لوگون کو نید میں چلنے کی بیماری ہوتی ہے اس بیماری کی روک تھام کے لیے ایک ڑوبوٹ متعارف کرایا گیا ہے جو کہ مریض کہ نہ صرف حفاظت کرے گا بلکہ اسے کسی نا خوش گوار واقع رونما ہونے سے بھی محفوظ رکھے گا اب قدرتی نابینا افراد بھی ایک خاص عینک پہننے کے بعد دیکھنے کی صلاحیت رکھیں گے بریسٹ کینسر کے خاتمے کے لیے آڑٹیفیشل بریسٹ بنائے گے ہیں  اور قدرتی بال بھرھانے کا طریقہ بھی دریافت کیا گیا ہے جس سے بال زیادہ گھنے اور مضبوط ہوں گے '],Fake
